Nombre;Apellidos;Nº Identificación;Fecha de Nacimiento;Fecha de Jubilación;Bases de Cotización;Años Cotizados;Comunidad Autónoma;Base Reguladora;Total Meses Cotizados;Pensión
Brian;Stephens;242-94-7576;1957-01-28;2023-04-22;504755,44;19 años 11 meses;Castilla y León;1442,16;59,00;899,76
Melanie;Rowland;001-45-4610;1950-02-18;2023-08-24;454875,61;16 años 2 meses;País Vasco;1299,64;14,00;688,03
Carly;Johnson;574-29-2225;1949-06-12;2023-06-01;609918,53;33 años 7 meses;Galicia;1742,62;223,00;871,84
James;Kramer;745-03-2393;1958-03-28;2023-12-04;605288,19;45 años 0 meses;Comunidad Valenciana;1729,39;360,00;1729,39
John;Garcia;476-05-6051;1952-03-16;2023-09-25;464934,86;16 años 2 meses;Comunidad Valenciana;1328,39;14,00;703,25
Alex;Ritter;527-79-9389;1951-06-25;2023-03-16;617383,64;36 años 6 meses;Andalucía;1763,95;258,00;765,21
James;Sharp;545-36-1390;1958-05-14;2023-01-15;615918,89;40 años 10 meses;Castilla-La Mancha;1759,77;310,00;1759,77
Alyssa;Weiss;373-87-7472;1953-11-05;2023-03-08;484033,03;18 años 7 meses;Madrid;1382,95;43,00;816,36
Miguel;Holmes;409-74-0921;1958-01-19;2023-04-17;604371,07;38 años 9 meses;Asturias;1726,77;285,00;1726,77
Amanda;Hunt;515-77-3801;1952-12-05;2023-08-01;598861,70;25 años 4 meses;Asturias;1711,03;124,00;1177,88
Tanya;Reynolds;001-87-7922;1954-06-21;2023-12-06;473946,52;18 años 10 meses;Cataluña;1354,13;46,00;807,87
Jordan;Gonzalez;790-98-3014;1957-11-04;2023-12-06;580748,28;40 años 1 meses;Murcia;1659,28;301,00;1659,28
Lisa;Trevino;887-82-7141;1958-09-02;2023-04-18;600559,29;38 años 10 meses;Castilla-La Mancha;1715,88;286,00;1715,88
Lee;Patrick;841-46-2317;1951-10-22;2023-10-01;464019,61;16 años 6 meses;Madrid;1325,77;18,00;713,00
Robert;Montoya;423-53-7944;1958-06-07;2023-07-18;610604,19;45 años 1 meses;Cantabria;1744,58;361,00;1744,58
Angela;Williams;087-93-0988;1958-08-15;2023-07-10;615601,09;44 años 11 meses;Cataluña;1758,86;359,00;1758,86
Christopher;Meyer;493-70-3934;1956-02-09;2023-05-03;614126,41;37 años 1 meses;Extremadura;1754,65;265,00;1754,65
Susan;Stone;610-97-0020;1948-05-21;2023-10-19;612436,13;37 años 8 meses;Castilla-La Mancha;1749,82;272,00;1749,82
Sheri;Alvarez;779-10-1757;1952-02-16;2023-04-04;449644,52;16 años 1 meses;Cataluña;1284,70;13,00;677,42
Julia;Adams;067-77-5930;1949-02-20;2023-03-15;592198,03;27 años 5 meses;Comunidad Valenciana;1691,99;149,00;1084,39
Amanda;Lane;273-87-6234;1950-09-30;2023-02-09;451391,28;15 años 3 meses;Murcia;1289,69;3,00;652,97
Katrina;Collins;257-72-9666;1953-07-29;2023-04-19;471775,92;16 años 1 meses;La Rioja;1347,93;13,00;710,76
Natalie;Romero;331-89-9405;1958-03-09;2023-08-15;605832,59;41 años 6 meses;Aragón;1730,95;318,00;1730,95
Wesley;Avila;366-88-0435;1958-04-25;2023-07-14;584698,97;38 años 10 meses;Extremadura;1670,57;286,00;1670,57
Elizabeth;Jenkins;002-49-4671;1953-04-07;2023-08-26;591969,79;35 años 1 meses;Cantabria;1691,34;241,00;788,33
Jason;Peterson;179-61-1469;1958-03-17;2023-08-25;596916,32;44 años 0 meses;País Vasco;1705,48;348,00;1705,48
Mary;Alexander;299-07-7189;1958-04-27;2023-02-15;600511,27;39 años 6 meses;Castilla-La Mancha;1715,75;294,00;1715,75
Daniel;Dalton;155-14-3464;1949-08-03;2023-08-08;422956,62;15 años 10 meses;País Vasco;1208,45;10,00;629,60
Jeff;Holt;387-44-3862;1954-11-26;2023-05-18;612552,47;26 años 6 meses;Madrid;1750,15;138,00;1158,24
Alexander;Torres;281-33-1952;1956-08-18;2023-04-24;516793,69;20 años 2 meses;Madrid;1476,55;62,00;930,52
Gabriel;Avery;488-45-0930;1955-02-20;2023-02-28;532094,44;20 años 7 meses;Andalucía;1520,27;67,00;974,04
James;Pugh;147-14-4473;1956-05-18;2023-11-24;588212,67;23 años 0 meses;Asturias;1680,61;96,00;1179,12
Daniel;Richardson;360-06-3593;1948-12-13;2023-03-28;595694,65;36 años 7 meses;Cataluña;1701,98;259,00;735,08
Willie;Bowers;091-27-2024;1956-05-10;2023-12-11;535243,12;21 años 4 meses;Islas Baleares;1529,27;76,00;1008,71
Mitchell;Reynolds;563-82-7366;1954-12-06;2023-01-11;474530,74;17 años 8 meses;Galicia;1355,80;32,00;769,01
Spencer;Young;530-62-6002;1958-08-06;2023-10-24;608964,69;39 años 5 meses;Galicia;1739,90;293,00;1739,90
Hayley;Hall;082-93-4382;1957-11-10;2023-02-20;587414,35;41 años 8 meses;Cantabria;1678,33;320,00;1678,33
Joshua;Banks;626-96-0631;1952-08-05;2023-02-07;591274,14;31 años 8 meses;Andalucía;1689,35;200,00;919,00
Jamie;Macdonald;553-90-5007;1957-01-08;2023-02-24;584364,98;24 años 6 meses;Navarra;1669,61;114,00;1181,09
Julie;Williams;306-90-2385;1951-03-28;2023-12-20;527076,21;19 años 1 meses;Navarra;1505,93;49,00;907,93
Jared;Bowen;103-88-4941;1958-10-08;2023-09-20;599922,02;43 años 6 meses;La Rioja;1714,06;342,00;1714,06
Megan;Walls;013-06-6979;1958-01-13;2023-03-05;618037,54;44 años 7 meses;Cantabria;1765,82;355,00;1765,82
Carolyn;Smith;454-96-5202;1949-10-20;2023-04-09;599410,64;25 años 5 meses;Castilla-La Mancha;1712,60;125,00;1175,70
Charles;Gardner;585-79-2363;1948-03-03;2023-06-27;602073,12;26 años 7 meses;Castilla y León;1720,21;139,00;1135,16
Beverly;Moran;104-97-2433;1951-06-23;2023-03-03;436982,20;15 años 4 meses;Madrid;1248,52;4,00;634,75
Linda;Callahan;121-10-0627;1958-03-03;2023-05-15;611196,45;44 años 10 meses;Extremadura;1746,28;358,00;1746,28
Kara;Miranda;018-74-2733;1950-04-20;2023-04-08;553573,18;23 años 8 meses;La Rioja;1581,64;104,00;1136,25
Anna;Mckenzie;305-69-2608;1958-02-23;2023-06-23;605192,86;40 años 6 meses;Castilla-La Mancha;1729,12;306,00;1729,12
Andrew;Marsh;821-39-7675;1952-05-18;2023-06-23;588148,80;35 años 7 meses;País Vasco;1680,43;247,00;764,09
Bradley;Walker;331-65-7887;1956-02-17;2023-05-14;611080,26;25 años 11 meses;Galicia;1745,94;131,00;1178,69
Anne;Benson;300-38-4308;1953-12-01;2023-01-24;474640,50;18 años 9 meses;Aragón;1356,12;45,00;806,21
Jason;Hanna;090-32-2377;1958-09-01;2023-11-07;600518,54;41 años 0 meses;Andalucía;1715,77;312,00;1715,77
Cole;Smith;856-83-7159;1956-08-29;2023-06-11;595612,78;29 años 6 meses;Andalucía;1701,75;174,00;1009,82
Jack;Carter;446-76-5337;1957-12-12;2023-08-16;607661,35;42 años 3 meses;Comunidad Valenciana;1736,18;327,00;1736,18
Melanie;Tate;828-84-7083;1953-10-03;2023-12-03;519077,58;20 años 0 meses;Comunidad Valenciana;1483,08;60,00;928,41
Matthew;Harrison;737-51-1966;1952-08-17;2023-02-09;608527,92;34 años 8 meses;Madrid;1738,65;236,00;826,89
Angela;Wood;692-41-1887;1956-09-02;2023-05-12;613807,69;28 años 3 meses;Murcia;1753,74;159,00;1090,65
Michael;Andrews;789-49-9913;1958-08-31;2023-03-11;597728,79;44 años 0 meses;Navarra;1707,80;348,00;1707,80
Victoria;King;596-42-9387;1955-07-26;2023-10-28;472072,07;18 años 11 meses;Islas Baleares;1348,78;47,00;807,51
James;Mills;757-19-0402;1956-01-18;2023-09-24;620784,23;35 años 1 meses;Asturias;1773,67;241,00;826,71
Melinda;Blanchard;297-89-8409;1950-11-23;2023-11-01;462487,50;17 años 11 meses;Cataluña;1321,39;35,00;757,82
Stacy;Schwartz;638-37-9816;1952-01-18;2023-04-08;586915,35;31 años 8 meses;Aragón;1676,90;200,00;912,24
Christine;Hall;484-16-6038;1951-09-06;2023-12-25;603624,87;36 años 8 meses;Galicia;1724,64;260,00;741,59
Jessica;Mack;424-82-9352;1950-01-10;2023-05-05;588746,88;35 años 4 meses;La Rioja;1682,13;244,00;774,46
Lauren;Curtis;747-65-6437;1957-04-14;2023-11-19;445083,11;15 años 0 meses;Galicia;1271,67;0,00;635,84
Elizabeth;Jenkins;200-40-0529;1958-02-05;2023-09-01;606468,63;43 años 1 meses;Murcia;1732,77;337,00;1732,77
Christopher;Young;050-29-4087;1952-09-19;2023-05-18;579544,22;24 años 2 meses;Cantabria;1655,84;110,00;1183,93
Amanda;Hernandez;318-76-6414;1949-12-09;2023-11-06;595451,82;31 años 11 meses;Canarias;1701,29;203,00;915,80
Anthony;Love;525-90-6311;1958-03-04;2023-08-21;604789,46;45 años 8 meses;Castilla-La Mancha;1727,97;368,00;1727,97
Melissa;Hoover;313-79-8283;1950-05-13;2023-08-11;609291,96;35 años 0 meses;Castilla y León;1740,83;240,00;814,70
Michelle;Sutton;419-41-3384;1956-12-08;2023-11-14;598172,02;36 años 1 meses;Castilla y León;1709,06;253,00;757,63
Austin;Rodriguez;232-60-0671;1955-05-23;2023-09-18;526635,08;20 años 0 meses;Asturias;1504,67;60,00;941,92
Jeff;Lee;246-87-3472;1954-09-22;2023-07-28;606154,64;27 años 8 meses;Castilla y León;1731,87;152,00;1100,07
Michael;Meyer;896-65-3441;1957-09-13;2023-05-14;524682,97;19 años 2 meses;Navarra;1499,09;50,00;906,95
Amber;Moore;349-83-0345;1949-07-21;2023-11-17;525526,30;20 años 9 meses;Canarias;1501,50;69,00;968,32
Sara;Jones;095-47-3330;1950-05-10;2023-04-01;568447,44;22 años 9 meses;Galicia;1624,14;93,00;1129,26
Timothy;Pugh;614-43-6843;1948-12-25;2023-05-08;535637,34;20 años 3 meses;Navarra;1530,39;63,00;967,67
Kimberly;Fletcher;095-96-4686;1953-02-16;2023-03-16;596381,72;33 años 9 meses;Castilla y León;1703,95;225,00;846,02
Kayla;Moreno;034-31-7967;1952-06-25;2023-03-01;605175,39;25 años 0 meses;Comunidad Valenciana;1729,07;120,00;1203,43
Steven;Barron;611-66-6731;1951-08-14;2023-02-11;605436,21;34 años 10 meses;Asturias;1729,82;238,00;816,13
Morgan;Hurst;156-49-6089;1954-11-09;2023-04-20;603474,03;32 años 8 meses;Navarra;1724,21;212,00;898,65
