Nombre;Apellidos;Nº Identificación;Fecha de Nacimiento;Fecha de Jubilación;Bases de Cotización;Años Cotizados;Comunidad Autónoma
Jordan;Gonzalez;790-98-3014;1957-11-04;2023-12-06;580748,28;40 años 1 meses;Murcia
Lisa;Trevino;887-82-7141;1958-09-02;2023-04-18;600559,29;38 años 10 meses;Castilla-La Mancha
Lee;Patrick;841-46-2317;1951-10-22;2023-10-01;464019,61;16 años 6 meses;Madrid
Robert;Montoya;423-53-7944;1958-06-07;2023-07-18;610604,19;45 años 1 meses;Cantabria
Angela;Williams;087-93-0988;1958-08-15;2023-07-10;615601,09;44 años 11 meses;Cataluña
Christopher;Meyer;493-70-3934;1956-02-09;2023-05-03;614126,41;37 años 1 meses;Extremadura
Susan;Stone;610-97-0020;1948-05-21;2023-10-19;612436,13;37 años 8 meses;Castilla-La Mancha
Sheri;Alvarez;779-10-1757;1952-02-16;2023-04-04;449644,52;16 años 1 meses;Cataluña
Julia;Adams;067-77-5930;1949-02-20;2023-03-15;592198,03;27 años 5 meses;Comunidad Valenciana
Amanda;Lane;273-87-6234;1950-09-30;2023-02-09;451391,28;15 años 3 meses;Murcia
Katrina;Collins;257-72-9666;1953-07-29;2023-04-19;471775,92;16 años 1 meses;La Rioja
Natalie;Romero;331-89-9405;1958-03-09;2023-08-15;605832,59;41 años 6 meses;Aragón
Wesley;Avila;366-88-0435;1958-04-25;2023-07-14;584698,97;38 años 10 meses;Extremadura
Elizabeth;Jenkins;002-49-4671;1953-04-07;2023-08-26;591969,79;35 años 1 meses;Cantabria
Jason;Peterson;179-61-1469;1958-03-17;2023-08-25;596916,32;44 años 0 meses;País Vasco
Mary;Alexander;299-07-7189;1958-04-27;2023-02-15;600511,27;39 años 6 meses;Castilla-La Mancha
Daniel;Dalton;155-14-3464;1949-08-03;2023-08-08;422956,62;15 años 10 meses;País Vasco
Jeff;Holt;387-44-3862;1954-11-26;2023-05-18;612552,47;26 años 6 meses;Madrid
Alexander;Torres;281-33-1952;1956-08-18;2023-04-24;516793,69;20 años 2 meses;Madrid
Gabriel;Avery;488-45-0930;1955-02-20;2023-02-28;532094,44;20 años 7 meses;Andalucía
James;Pugh;147-14-4473;1956-05-18;2023-11-24;588212,67;23 años 0 meses;Asturias
Daniel;Richardson;360-06-3593;1948-12-13;2023-03-28;595694,65;36 años 7 meses;Cataluña
Willie;Bowers;091-27-2024;1956-05-10;2023-12-11;535243,12;21 años 4 meses;Islas Baleares
Mitchell;Reynolds;563-82-7366;1954-12-06;2023-01-11;474530,74;17 años 8 meses;Galicia
Spencer;Young;530-62-6002;1958-08-06;2023-10-24;608964,69;39 años 5 meses;Galicia
Hayley;Hall;082-93-4382;1957-11-10;2023-02-20;587414,35;41 años 8 meses;Cantabria
Joshua;Banks;626-96-0631;1952-08-05;2023-02-07;591274,14;31 años 8 meses;Andalucía
Jamie;Macdonald;553-90-5007;1957-01-08;2023-02-24;584364,98;24 años 6 meses;Navarra
Julie;Williams;306-90-2385;1951-03-28;2023-12-20;527076,21;19 años 1 meses;Navarra
Jared;Bowen;103-88-4941;1958-10-08;2023-09-20;599922,02;43 años 6 meses;La Rioja
Megan;Walls;013-06-6979;1958-01-13;2023-03-05;618037,54;44 años 7 meses;Cantabria
Carolyn;Smith;454-96-5202;1949-10-20;2023-04-09;599410,64;25 años 5 meses;Castilla-La Mancha
Charles;Gardner;585-79-2363;1948-03-03;2023-06-27;602073,12;26 años 7 meses;Castilla y León
Beverly;Moran;104-97-2433;1951-06-23;2023-03-03;436982,2;15 años 4 meses;Madrid
Linda;Callahan;121-10-0627;1958-03-03;2023-05-15;611196,45;44 años 10 meses;Extremadura
Kara;Miranda;018-74-2733;1950-04-20;2023-04-08;553573,18;23 años 8 meses;La Rioja
Anna;Mckenzie;305-69-2608;1958-02-23;2023-06-23;605192,86;40 años 6 meses;Castilla-La Mancha
Andrew;Marsh;821-39-7675;1952-05-18;2023-06-23;588148,8;35 años 7 meses;País Vasco
Bradley;Walker;331-65-7887;1956-02-17;2023-05-14;611080,26;25 años 11 meses;Galicia
Anne;Benson;300-38-4308;1953-12-01;2023-01-24;474640,5;18 años 9 meses;Aragón
Jason;Hanna;090-32-2377;1958-09-01;2023-11-07;600518,54;41 años 0 meses;Andalucía
Cole;Smith;856-83-7159;1956-08-29;2023-06-11;595612,78;29 años 6 meses;Andalucía
Jack;Carter;446-76-5337;1957-12-12;2023-08-16;607661,35;42 años 3 meses;Comunidad Valenciana
Melanie;Tate;828-84-7083;1953-10-03;2023-12-03;519077,58;20 años 0 meses;Comunidad Valenciana
Matthew;Harrison;737-51-1966;1952-08-17;2023-02-09;608527,92;34 años 8 meses;Madrid
Angela;Wood;692-41-1887;1956-09-02;2023-05-12;613807,69;28 años 3 meses;Murcia
Michael;Andrews;789-49-9913;1958-08-31;2023-03-11;597728,79;44 años 0 meses;Navarra
Victoria;King;596-42-9387;1955-07-26;2023-10-28;472072,07;18 años 11 meses;Islas Baleares
James;Mills;757-19-0402;1956-01-18;2023-09-24;620784,23;35 años 1 meses;Asturias
Melinda;Blanchard;297-89-8409;1950-11-23;2023-11-01;462487,5;17 años 11 meses;Cataluña
Stacy;Schwartz;638-37-9816;1952-01-18;2023-04-08;586915,35;31 años 8 meses;Aragón
Christine;Hall;484-16-6038;1951-09-06;2023-12-25;603624,87;36 años 8 meses;Galicia
Jessica;Mack;424-82-9352;1950-01-10;2023-05-05;588746,88;35 años 4 meses;La Rioja
Lauren;Curtis;747-65-6437;1957-04-14;2023-11-19;445083,11;15 años 0 meses;Galicia
Elizabeth;Jenkins;200-40-0529;1958-02-05;2023-09-01;606468,63;43 años 1 meses;Murcia
Christopher;Young;050-29-4087;1952-09-19;2023-05-18;579544,22;24 años 2 meses;Cantabria
Amanda;Hernandez;318-76-6414;1949-12-09;2023-11-06;595451,82;31 años 11 meses;Canarias
Anthony;Love;525-90-6311;1958-03-04;2023-08-21;604789,46;45 años 8 meses;Castilla-La Mancha
Melissa;Hoover;313-79-8283;1950-05-13;2023-08-11;609291,96;35 años 0 meses;Castilla y León
Michelle;Sutton;419-41-3384;1956-12-08;2023-11-14;598172,02;36 años 1 meses;Castilla y León
Austin;Rodriguez;232-60-0671;1955-05-23;2023-09-18;526635,08;20 años 0 meses;Asturias
Jeff;Lee;246-87-3472;1954-09-22;2023-07-28;606154,64;27 años 8 meses;Castilla y León
Michael;Meyer;896-65-3441;1957-09-13;2023-05-14;524682,97;19 años 2 meses;Navarra
Amber;Moore;349-83-0345;1949-07-21;2023-11-17;525526,3;20 años 9 meses;Canarias
Sara;Jones;095-47-3330;1950-05-10;2023-04-01;568447,44;22 años 9 meses;Galicia
Timothy;Pugh;614-43-6843;1948-12-25;2023-05-08;535637,34;20 años 3 meses;Navarra
Kimberly;Fletcher;095-96-4686;1953-02-16;2023-03-16;596381,72;33 años 9 meses;Castilla y León
Kayla;Moreno;034-31-7967;1952-06-25;2023-03-01;605175,39;25 años 0 meses;Comunidad Valenciana
Steven;Barron;611-66-6731;1951-08-14;2023-02-11;605436,21;34 años 10 meses;Asturias
Morgan;Hurst;156-49-6089;1954-11-09;2023-04-20;603474,03;32 años 8 meses;Navarra
